Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
Shai Gilgeous-Alexander,OKC,27,40,33,7,1330.8,1265,430,789,54.5,78,199,39.2,327,369,88.6,17,160,177,253,81,54,32,81,2034,3,0,476
Tyrese Maxey,PHI,25,38,21,17,1495.4,1150,401,846,47.4,139,346,40.2,209,238,87.8,10,158,168,254,95,72,37,79,1965,4,0,84
Donovan Mitchell,CLE,29,39,22,17,1324.5,1140,396,809,48.9,152,389,39.1,196,232,84.5,33,156,189,224,119,57,10,97,1785,3,0,233
Jaylen Brown,BOS,29,37,23,14,1263.0,1089,400,814,49.1,81,217,37.3,208,265,78.5,45,194,239,181,140,36,14,114,1657,5,1,110
Luka Dončić,LAL,26,32,20,12,1164.3,1075,337,720,46.8,109,326,33.4,292,373,78.3,30,217,247,278,143,50,17,86,1846,19,4,33
Jalen Brunson,NYK,29,37,24,13,1276.2,1045,372,773,48.1,111,286,38.8,190,223,85.2,20,100,120,227,85,26,3,89,1532,5,0,135
Deni Avdija,POR,25,40,19,21,1414.3,1043,317,678,46.8,92,259,35.5,317,396,80.1,40,243,283,276,156,35,24,111,1818,12,3,24
James Harden,LAC,36,38,17,21,1358.2,980,283,669,42.3,120,346,34.7,294,328,89.6,23,156,179,306,135,49,13,75,1705,12,2,6
Kevin Durant,HOU,37,37,22,15,1350.7,973,343,665,51.6,82,203,40.4,205,231,88.7,15,185,200,166,112,27,36,79,1539,5,0,247
Pascal Siakam,IND,31,41,10,31,1387.6,969,363,752,48.3,72,192,37.5,171,250,68.4,68,215,283,159,90,50,18,107,1661,8,0,-124
Jamal Murray,DEN,28,37,25,12,1316.7,954,339,701,48.4,127,285,44.6,149,167,89.2,17,151,168,276,86,37,11,60,1628,10,0,230
Anthony Edwards,MIN,24,33,22,11,1151.9,953,329,658,50.0,110,269,40.9,185,235,78.7,20,144,164,124,90,44,28,61,1462,1,0,82
Julius Randle,MIN,31,42,27,15,1408.1,949,330,665,49.6,68,200,34.0,221,275,80.4,68,228,296,235,106,43,7,113,1701,12,2,196
Nikola Jokić,DEN,30,32,22,10,1105.9,948,339,560,60.5,67,154,43.5,203,238,85.3,97,292,389,351,113,44,24,89,2032,28,16,304
Keyonte George,UTA,22,40,14,26,1368.6,947,298,654,45.6,98,269,36.4,253,279,90.7,20,146,166,273,140,40,11,94,1569,4,0,-227
Devin Booker,PHX,29,37,23,14,1260.4,934,306,674,45.4,61,201,30.3,261,303,86.1,32,118,150,240,121,34,12,100,1491,5,0,150
Lauri Markkanen,UTA,28,33,14,19,1187.2,922,314,650,48.3,96,263,36.5,198,224,88.4,66,171,237,71,52,34,16,65,1411,4,0,-22
Jalen Johnson,ATL,24,39,19,20,1378.1,901,336,648,51.9,62,175,35.4,167,210,79.5,54,340,394,315,135,50,20,80,1921,27,7,-19
Stephen Curry,GSW,37,32,19,13,1024.1,898,295,628,47.0,147,378,38.9,161,173,93.1,14,107,121,158,91,37,15,64,1345,2,0,79
Brandon Ingram,TOR,28,41,24,17,1391.1,894,334,705,47.4,71,201,35.3,155,187,82.9,35,213,248,151,115,30,31,82,1486,1,0,24
Cade Cunningham,DET,24,34,25,9,1214.8,892,309,674,45.8,68,207,32.9,206,250,82.4,35,173,208,332,136,51,28,111,1741,21,3,263
Trey Murphy III,NOP,25,40,10,30,1428.3,888,313,629,49.8,126,325,38.8,136,152,89.5,46,201,247,144,75,62,10,88,1541,4,0,-182
Kawhi Leonard,LAC,34,30,15,15,1013.2,847,292,587,49.7,87,218,39.9,176,187,94.1,27,161,188,104,64,67,19,41,1423,4,0,78
Nickeil Alexander-Walker,ATL,27,41,18,23,1347.0,839,290,647,44.8,123,325,37.8,136,158,86.1,26,123,149,138,84,44,23,88,1342,0,0,-19
Norman Powell,MIA,32,35,19,16,1079.6,837,281,574,49.0,105,254,41.3,170,198,85.9,12,118,130,93,67,44,7,79,1219,0,0,88
Michael Porter Jr.,BKN,27,32,12,20,1058.2,824,291,597,48.7,123,304,40.5,119,141,84.4,42,197,239,103,82,33,7,66,1303,7,0,5
Scottie Barnes,TOR,24,42,25,17,1449.7,820,318,635,50.1,45,138,32.6,139,168,82.7,89,257,346,229,109,56,59,121,1815,19,2,78
Shaedon Sharpe,POR,22,38,18,20,1135.2,818,308,679,45.4,74,225,32.9,128,164,78.0,43,128,171,101,113,56,5,74,1245,0,0,-43
DeMar DeRozan,SAC,36,42,12,30,1407.0,802,288,568,50.7,33,91,36.3,193,220,87.7,22,118,140,164,45,60,10,87,1381,0,0,-292
Karl-Anthony Towns,NYK,30,38,23,15,1228.2,794,257,550,46.7,63,177,35.6,217,252,86.1,114,322,436,112,98,35,25,136,1567,27,0,162
Miles Bridges,CHA,27,40,15,25,1335.1,786,276,616,44.8,95,277,34.3,139,164,84.8,39,220,259,147,58,21,21,73,1385,6,0,-88
Desmond Bane,ORL,27,41,23,18,1386.8,781,284,630,45.1,68,203,33.5,145,156,92.9,53,133,186,186,92,32,22,122,1353,1,0,88
Giannis Antetokounmpo,MIL,31,27,14,13,782.9,777,295,456,64.7,15,37,40.5,172,264,65.2,78,179,257,148,90,25,21,72,1355,14,0,129
